measure_key,module_id,module_version,module_label,domain,metric_id,metric_name,unit,frequency,derivation,formula,source_ids,source_tier,subgroup_dimension,geography_basis,history_start,notes
access.hud_assisted_housing.hud_assisted_occupancy_pct,access,1.2.0,Housing Access & Displacement,hud_assisted_housing,hud_assisted_occupancy_pct,HUD-assisted units reported occupied,percent,annual program snapshot,published,published,HUD_PICTURE,1,none,,,Summary of all programs represented in HUD's Picture of Subsidized Households; it is not a census of every affordable unit.
access.hud_assisted_housing.hud_assisted_units,access,1.2.0,Housing Access & Displacement,hud_assisted_housing,hud_assisted_units,HUD-assisted units under contract,housing units,annual program snapshot,published,published,HUD_PICTURE,1,none,,,Summary of all programs represented in HUD's Picture of Subsidized Households; it is not a census of every affordable unit.
access.hud_assisted_housing.hud_assisted_people,access,1.2.0,Housing Access & Displacement,hud_assisted_housing,hud_assisted_people,People in HUD-assisted households,people,annual program snapshot,published,published,HUD_PICTURE,1,none,,,Summary of all programs represented in HUD's Picture of Subsidized Households; it is not a census of every affordable unit.
access.income_targeted_production.hcd_apr_above_permitted_units,access,1.2.0,Housing Access & Displacement,income_targeted_production,hcd_apr_above_permitted_units,HCD-reported ABOVE permitted units,housing units,annual,published,published,CA_HCD_APR,1,none,,,Jurisdiction-reported building permits aggregated to county by The Bay Outlook. Reused from the verified Version 1.1 evidence layer.
access.income_targeted_production.hcd_apr_li_permitted_units,access,1.2.0,Housing Access & Displacement,income_targeted_production,hcd_apr_li_permitted_units,HCD-reported LI permitted units,housing units,annual,published,published,CA_HCD_APR,1,none,,,Jurisdiction-reported building permits aggregated to county by The Bay Outlook. Reused from the verified Version 1.1 evidence layer.
access.income_targeted_production.hcd_apr_mod_permitted_units,access,1.2.0,Housing Access & Displacement,income_targeted_production,hcd_apr_mod_permitted_units,HCD-reported MOD permitted units,housing units,annual,published,published,CA_HCD_APR,1,none,,,Jurisdiction-reported building permits aggregated to county by The Bay Outlook. Reused from the verified Version 1.1 evidence layer.
access.income_targeted_production.hcd_apr_vli_permitted_units,access,1.2.0,Housing Access & Displacement,income_targeted_production,hcd_apr_vli_permitted_units,HCD-reported VLI permitted units,housing units,annual,published,published,CA_HCD_APR,1,none,,,Jurisdiction-reported building permits aggregated to county by The Bay Outlook. Reused from the verified Version 1.1 evidence layer.
access.income_targeted_production.hcd_apr_permitted_units,access,1.2.0,Housing Access & Displacement,income_targeted_production,hcd_apr_permitted_units,HCD-reported permitted units,housing units,annual,published,published,CA_HCD_APR,1,none,,,Jurisdiction-reported building permits aggregated to county by The Bay Outlook. Reused from the verified Version 1.1 evidence layer.
access.income_targeted_production.rhna_target_above_mod_units,access,1.2.0,Housing Access & Displacement,income_targeted_production,rhna_target_above_mod_units,Sixth-cycle RHNA above-moderate-income allocation,housing units,planning cycle,aggregated,sum of jurisdiction allocations within county,CA_HCD_RHNA,1,none,,,"Allocation is a planning target, not a completed or occupied unit count."
access.income_targeted_production.rhna_target_li_units,access,1.2.0,Housing Access & Displacement,income_targeted_production,rhna_target_li_units,Sixth-cycle RHNA low-income allocation,housing units,planning cycle,aggregated,sum of jurisdiction allocations within county,CA_HCD_RHNA,1,none,,,"Allocation is a planning target, not a completed or occupied unit count."
access.income_targeted_production.rhna_target_mod_units,access,1.2.0,Housing Access & Displacement,income_targeted_production,rhna_target_mod_units,Sixth-cycle RHNA moderate-income allocation,housing units,planning cycle,aggregated,sum of jurisdiction allocations within county,CA_HCD_RHNA,1,none,,,"Allocation is a planning target, not a completed or occupied unit count."
access.income_targeted_production.rhna_target_vli_units,access,1.2.0,Housing Access & Displacement,income_targeted_production,rhna_target_vli_units,Sixth-cycle RHNA very-low-income allocation,housing units,planning cycle,aggregated,sum of jurisdiction allocations within county,CA_HCD_RHNA,1,none,,,"Allocation is a planning target, not a completed or occupied unit count."
access.worker_housing_access.income_required_1br_fmr,access,1.2.0,Housing Access & Displacement,worker_housing_access,income_required_1br_fmr,Annual income required for 1-bedroom FMR at 30% of income,current dollars per year,federal fiscal year,derived,12 × 1-bedroom monthly FMR divided by 0.30,HUD_FMR,1,none,,,"Descriptive affordability benchmark; it does not account for household size, taxes, benefits, or work hours."
access.worker_housing_access.income_required_2br_fmr,access,1.2.0,Housing Access & Displacement,worker_housing_access,income_required_2br_fmr,Annual income required for 2-bedroom FMR at 30% of income,current dollars per year,federal fiscal year,derived,12 × 2-bedroom monthly FMR divided by 0.30,HUD_FMR,1,none,,,"Descriptive affordability benchmark; it does not account for household size, taxes, benefits, or work hours."
access.worker_housing_access.fmr_1br,access,1.2.0,Housing Access & Displacement,worker_housing_access,fmr_1br,HUD Fair Market Rent — 1-bedroom,current dollars per month,federal fiscal year,published,published,HUD_FMR,1,none,,,"HUD FMR area: Oakland-Fremont, CA HUD Metro FMR Area. FMR is a rent standard, not the median asking rent for this county alone."
access.worker_housing_access.fmr_2br,access,1.2.0,Housing Access & Displacement,worker_housing_access,fmr_2br,HUD Fair Market Rent — 2-bedroom,current dollars per month,federal fiscal year,published,published,HUD_FMR,1,none,,,"HUD FMR area: Oakland-Fremont, CA HUD Metro FMR Area. FMR is a rent standard, not the median asking rent for this county alone."
access.worker_housing_access.median_worker_earnings,access,1.2.0,Housing Access & Displacement,worker_housing_access,median_worker_earnings,Median annual earnings for people age 16+ with earnings,current dollars per year,annual five-year estimate,published,published,CENSUS_ACS5_BULK,1,none,,,County median for people age 16 and over with earnings; not occupation-specific and not household income.
access.worker_housing_access.median_worker_earnings_coverage_1br_pct,access,1.2.0,Housing Access & Displacement,worker_housing_access,median_worker_earnings_coverage_1br_pct,Median worker earnings as share of income required for 1-bedroom FMR,percent,federal fiscal year,derived,ACS 2024 median earnings divided by annual income required for FY2026 1-bedroom FMR,CENSUS_ACS5_BULK;HUD_FMR,1,none,,,Comparison joins overlapping ACS 2019–2024 earnings with an FY2026 rent standard; it is not occupation-specific.
access.worker_housing_access.median_worker_earnings_coverage_2br_pct,access,1.2.0,Housing Access & Displacement,worker_housing_access,median_worker_earnings_coverage_2br_pct,Median worker earnings as share of income required for 2-bedroom FMR,percent,federal fiscal year,derived,ACS 2024 median earnings divided by annual income required for FY2026 2-bedroom FMR,CENSUS_ACS5_BULK;HUD_FMR,1,none,,,Comparison joins overlapping ACS 2019–2024 earnings with an FY2026 rent standard; it is not occupation-specific.
access.worker_housing_access.monthly_affordability_gap_1br,access,1.2.0,Housing Access & Displacement,worker_housing_access,monthly_affordability_gap_1br,Monthly gap between 1-bedroom FMR and 30% of median worker earnings,current dollars per month,federal fiscal year,derived,FY2026 1-bedroom FMR minus 30% of ACS 2024 median annual earnings divided by 12,CENSUS_ACS5_BULK;HUD_FMR,1,none,,,Positive values indicate the rent standard exceeds 30% of median individual earnings; no work-hour assumption is used.
access.worker_housing_access.monthly_affordability_gap_2br,access,1.2.0,Housing Access & Displacement,worker_housing_access,monthly_affordability_gap_2br,Monthly gap between 2-bedroom FMR and 30% of median worker earnings,current dollars per month,federal fiscal year,derived,FY2026 2-bedroom FMR minus 30% of ACS 2024 median annual earnings divided by 12,CENSUS_ACS5_BULK;HUD_FMR,1,none,,,Positive values indicate the rent standard exceeds 30% of median individual earnings; no work-hour assumption is used.
equity.age_and_tenure.homeownership_pct,equity,1.4.0,Housing Equity & Economic Connections,age_and_tenure,homeownership_pct,Homeownership share,percent,,derived,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.,CENSUS_ACS5_DETAIL,1,age_of_householder,household residence,2022,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.
equity.commuting_and_job_access.inbound_job_share_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,inbound_job_share_pct,Inbound share of primary jobs,percent,,derived,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.,CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.
equity.commuting_and_job_access.age_29_or_younger_job_share_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,age_29_or_younger_job_share_pct,Primary jobs held by people age 29 or younger,percent,,derived,LODES primary jobs held by people age 29 or younger.,CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,LODES primary jobs held by people age 29 or younger.
equity.commuting_and_job_access.age_30_to_54_job_share_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,age_30_to_54_job_share_pct,Primary jobs held by people age 30 to 54,percent,,derived,LODES primary jobs held by people age 30 through 54.,CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,LODES primary jobs held by people age 30 through 54.
equity.commuting_and_job_access.age_55_plus_job_share_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,age_55_plus_job_share_pct,Primary jobs held by people age 55 or older,percent,,derived,LODES primary jobs held by people age 55 or older.,CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,LODES primary jobs held by people age 55 or older.
equity.commuting_and_job_access.other_california_inbound_primary_jobs,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,other_california_inbound_primary_jobs,Primary jobs held by residents of another California county,primary jobs,,aggregated,Primary jobs located in the county whose home geocode is in another California county.,CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,Primary jobs located in the county whose home geocode is in another California county.
equity.commuting_and_job_access.outside_california_inbound_primary_jobs,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,outside_california_inbound_primary_jobs,Primary jobs held by residents outside California,primary jobs,,aggregated,Primary jobs located in the county whose home geocode is outside California.,CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,Primary jobs located in the county whose home geocode is outside California.
equity.commuting_and_job_access.local_resident_primary_jobs,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,local_resident_primary_jobs,Primary jobs held by same-county residents,primary jobs,,aggregated,Primary jobs whose workplace and home geocodes are in the same county.,CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,Primary jobs whose workplace and home geocodes are in the same county.
equity.commuting_and_job_access.primary_jobs,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,primary_jobs,Primary jobs located in county,primary jobs,,aggregated,LODES JT01 primary jobs located in the county.,CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,LODES JT01 primary jobs located in the county.
equity.commuting_and_job_access.low_monthly_earnings_job_share_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,low_monthly_earnings_job_share_pct,"Primary jobs paying $1,250 per month or less",percent,,derived,"LODES primary jobs in the $1,250-per-month-or-less earnings band.",CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,"LODES primary jobs in the $1,250-per-month-or-less earnings band."
equity.commuting_and_job_access.middle_monthly_earnings_job_share_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,middle_monthly_earnings_job_share_pct,"Primary jobs paying $1,251 to $3,333 per month",percent,,derived,"LODES primary jobs in the $1,251-to-$3,333 monthly earnings band.",CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,"LODES primary jobs in the $1,251-to-$3,333 monthly earnings band."
equity.commuting_and_job_access.high_monthly_earnings_job_share_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,high_monthly_earnings_job_share_pct,"Primary jobs paying more than $3,333 per month",percent,,derived,"LODES primary jobs in the over-$3,333 monthly earnings band.",CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,"LODES primary jobs in the over-$3,333 monthly earnings band."
equity.commuting_and_job_access.local_resident_job_share_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,local_resident_job_share_pct,Same-county resident share of primary jobs,percent,,derived,Same-county home-and-work primary jobs divided by primary jobs located in the county.,CENSUS_LEHD_LODES,1,none,workplace county with home-work relation,2021,Same-county home-and-work primary jobs divided by primary jobs located in the county.
equity.commuting_and_job_access.commute_30_to_59_minutes_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,commute_30_to_59_minutes_pct,Workers commuting 30 to 59 minutes,percent,,derived,Workers with travel time from 30 through 59 minutes divided by workers who did not work from home.,CENSUS_ACS5_DETAIL,1,none,person residence,2022,Workers with travel time from 30 through 59 minutes divided by workers who did not work from home.
equity.commuting_and_job_access.commute_60_plus_minutes_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,commute_60_plus_minutes_pct,Workers commuting 60 minutes or more,percent,,derived,Workers with travel time of 60 minutes or more divided by workers who did not work from home.,CENSUS_ACS5_DETAIL,1,none,person residence,2022,Workers with travel time of 60 minutes or more divided by workers who did not work from home.
equity.commuting_and_job_access.commute_under_30_minutes_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,commute_under_30_minutes_pct,Workers commuting under 30 minutes,percent,,derived,Workers with travel time under 30 minutes divided by workers who did not work from home.,CENSUS_ACS5_DETAIL,1,none,person residence,2022,Workers with travel time under 30 minutes divided by workers who did not work from home.
equity.commuting_and_job_access.public_transport_commute_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,public_transport_commute_pct,Workers using public transportation,percent,,derived,Public-transportation commuters divided by workers age 16 and over.,CENSUS_ACS5_DETAIL,1,none,person residence,2022,Public-transportation commuters divided by workers age 16 and over.
equity.commuting_and_job_access.worked_from_home_pct,equity,1.4.0,Housing Equity & Economic Connections,commuting_and_job_access,worked_from_home_pct,Workers working from home,percent,,derived,People working from home divided by workers age 16 and over.,CENSUS_ACS5_DETAIL,1,none,person residence,2022,People working from home divided by workers age 16 and over.
equity.education_and_earnings.homeownership_pct,equity,1.4.0,Housing Equity & Economic Connections,education_and_earnings,homeownership_pct,Homeownership share,percent,,derived,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.,CENSUS_ACS5_DETAIL,1,educational_attainment_of_householder,household residence,2022,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.
equity.education_and_earnings.median_annual_earnings,equity,1.4.0,Housing Equity & Economic Connections,education_and_earnings,median_annual_earnings,Median annual earnings,current dollars per year,,aggregated,ACS median annual earnings for the stated resident population; not household income or local-job pay.,CENSUS_ACS5_DETAIL,1,educational_attainment,person residence,2022,ACS median annual earnings for the stated resident population; not household income or local-job pay.
equity.education_and_earnings.earnings_coverage_2br_fmr_pct,equity,1.4.0,Housing Equity & Economic Connections,education_and_earnings,earnings_coverage_2br_fmr_pct,Median earnings coverage of two-bedroom FMR income requirement,percent,,derived,Median annual earnings divided by the annual income required for FY2026 two-bedroom FMR at 30%.,CENSUS_ACS5_DETAIL;HUD_FMR,1,educational_attainment,person residence compared with HUD FMR area,2022,Median annual earnings divided by the annual income required for FY2026 two-bedroom FMR at 30%.
equity.education_and_earnings.monthly_gap_to_2br_fmr,equity,1.4.0,Housing Equity & Economic Connections,education_and_earnings,monthly_gap_to_2br_fmr,Monthly gap between two-bedroom FMR and 30% of median earnings,current dollars per month,,derived,FY2026 two-bedroom FMR minus 30% of median annual earnings divided by 12.,CENSUS_ACS5_DETAIL;HUD_FMR,1,educational_attainment,person residence compared with HUD FMR area,2022,FY2026 two-bedroom FMR minus 30% of median annual earnings divided by 12.
equity.household_type_and_housing.homeownership_pct,equity,1.4.0,Housing Equity & Economic Connections,household_type_and_housing,homeownership_pct,Homeownership share,percent,,derived,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.,CENSUS_ACS5_DETAIL,1,household_type,household residence,2022,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.
equity.occupation_and_affordability.median_annual_earnings,equity,1.4.0,Housing Equity & Economic Connections,occupation_and_affordability,median_annual_earnings,Median annual earnings,current dollars per year,,aggregated,ACS median annual earnings for the stated resident population; not household income or local-job pay.,CENSUS_ACS5_DETAIL,1,broad_occupation,person residence,2022,ACS median annual earnings for the stated resident population; not household income or local-job pay.
equity.occupation_and_affordability.earnings_coverage_2br_fmr_pct,equity,1.4.0,Housing Equity & Economic Connections,occupation_and_affordability,earnings_coverage_2br_fmr_pct,Median earnings coverage of two-bedroom FMR income requirement,percent,,derived,Median annual earnings divided by the annual income required for FY2026 two-bedroom FMR at 30%.,CENSUS_ACS5_DETAIL;HUD_FMR,1,broad_occupation,person residence compared with HUD FMR area,2022,Median annual earnings divided by the annual income required for FY2026 two-bedroom FMR at 30%.
equity.occupation_and_affordability.monthly_gap_to_2br_fmr,equity,1.4.0,Housing Equity & Economic Connections,occupation_and_affordability,monthly_gap_to_2br_fmr,Monthly gap between two-bedroom FMR and 30% of median earnings,current dollars per month,,derived,FY2026 two-bedroom FMR minus 30% of median annual earnings divided by 12.,CENSUS_ACS5_DETAIL;HUD_FMR,1,broad_occupation,person residence compared with HUD FMR area,2022,FY2026 two-bedroom FMR minus 30% of median annual earnings divided by 12.
equity.race_ethnicity_and_housing.homeownership_pct,equity,1.4.0,Housing Equity & Economic Connections,race_ethnicity_and_housing,homeownership_pct,Homeownership share,percent,,derived,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.,CENSUS_ACS5_DETAIL,1,race_ethnicity_of_householder,household residence,2022,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.
equity.race_ethnicity_and_housing.housing_cost_burden_over_30_pct,equity,1.4.0,Housing Equity & Economic Connections,race_ethnicity_and_housing,housing_cost_burden_over_30_pct,Housing costs over 30% of household income,percent,,derived,Units with housing costs over 30% of household income divided by units with a computable ratio.,CENSUS_ACS5_DETAIL,1,race_ethnicity_of_householder,household residence,2023,Units with housing costs over 30% of household income divided by units with a computable ratio.
equity.race_ethnicity_and_housing.housing_cost_burden_over_50_pct,equity,1.4.0,Housing Equity & Economic Connections,race_ethnicity_and_housing,housing_cost_burden_over_50_pct,Housing costs over 50% of household income,percent,,derived,Units with housing costs over 50% of household income divided by units with a computable ratio.,CENSUS_ACS5_DETAIL,1,race_ethnicity_of_householder,household residence,2023,Units with housing costs over 50% of household income divided by units with a computable ratio.
equity.transportation_and_housing.zero_vehicle_households_pct,equity,1.4.0,Housing Equity & Economic Connections,transportation_and_housing,zero_vehicle_households_pct,Occupied units with no vehicle available,percent,,derived,Occupied units with no vehicle available divided by occupied units for the stated tenure.,CENSUS_ACS5_DETAIL,1,tenure,household residence,2022,Occupied units with no vehicle available divided by occupied units for the stated tenure.
observatory.affordability_ratios.rent_to_income_pct,observatory,1.1.0,Housing Observatory,affordability_ratios,rent_to_income_pct,Median gross rent to median household income,percent,annual five-year estimate,derived,annualized median gross rent divided by median household income,CENSUS_ACS5_BULK,1,none,,,Ratio of two medians; not the share of a typical household's actual income spent on rent.
observatory.affordability_ratios.home_value_to_income_ratio,observatory,1.1.0,Housing Observatory,affordability_ratios,home_value_to_income_ratio,Median home value to median household income,ratio,annual five-year estimate,derived,median owner-reported home value divided by median household income,CENSUS_ACS5_BULK,1,none,,,"Ratio of two medians; excludes mortgage rates, taxes, insurance, and down payments."
observatory.affordability_ratios.median_household_income,observatory,1.1.0,Housing Observatory,affordability_ratios,median_household_income,Median household income,current dollars per year,annual five-year estimate,published,published,CENSUS_ACS5_BULK,1,none,,,
observatory.affordability_ratios.median_home_value,observatory,1.1.0,Housing Observatory,affordability_ratios,median_home_value,Median owner-occupied home value,current dollars,annual five-year estimate,published,published,CENSUS_ACS5_BULK,1,none,,,"Owner-reported ACS value, not a transaction price."
observatory.cost_burden.owner_cost_burden_30_plus_pct,observatory,1.1.0,Housing Observatory,cost_burden,owner_cost_burden_30_plus_pct,Owners spending at least 30% of income on housing,percent,annual five-year estimate,derived,B25091 mortgage and nonmortgage 30%+ categories divided by computed cases,CENSUS_ACS5_BULK,1,none,,,Derived point estimate; no derived margin of error is asserted.
observatory.cost_burden.owner_severe_cost_burden_50_plus_pct,observatory,1.1.0,Housing Observatory,cost_burden,owner_severe_cost_burden_50_plus_pct,Owners spending at least 50% of income on housing,percent,annual five-year estimate,derived,B25091 mortgage and nonmortgage 50%+ categories divided by computed cases,CENSUS_ACS5_BULK,1,none,,,Derived point estimate; no derived margin of error is asserted.
observatory.cost_burden.renter_cost_burden_30_plus_pct,observatory,1.1.0,Housing Observatory,cost_burden,renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,percent,annual five-year estimate,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",CENSUS_ACS5_BULK,1,none,,,Derived point estimate; no derived margin of error is asserted.
observatory.cost_burden.renter_severe_cost_burden_50_plus_pct,observatory,1.1.0,Housing Observatory,cost_burden,renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,percent,annual five-year estimate,derived,B25070 50%+ category divided by computed cases,CENSUS_ACS5_BULK,1,none,,,Derived point estimate; no derived margin of error is asserted.
observatory.home_sales.active_listings,observatory,1.1.0,Housing Observatory,home_sales,active_listings,Active listings,listings,monthly,published,published,REDFIN_HMT,2,none,,,Redfin market data are subject to revision and reflect Redfin's documented market coverage; this is not a government statistic.
observatory.home_sales.homes_sold,observatory,1.1.0,Housing Observatory,home_sales,homes_sold,Homes sold,homes,monthly,published,published,REDFIN_HMT,2,none,,,Redfin market data are subject to revision and reflect Redfin's documented market coverage; this is not a government statistic.
observatory.home_sales.median_days_on_market,observatory,1.1.0,Housing Observatory,home_sales,median_days_on_market,Median days on market,days,monthly,published,published,REDFIN_HMT,2,none,,,Redfin market data are subject to revision and reflect Redfin's documented market coverage; this is not a government statistic.
observatory.home_sales.median_sale_price,observatory,1.1.0,Housing Observatory,home_sales,median_sale_price,"Median sale price, not seasonally adjusted",current dollars,monthly,published,published,REDFIN_HMT,2,none,,,Redfin market data are subject to revision and reflect Redfin's documented market coverage; this is not a government statistic.
observatory.home_sales.months_of_supply,observatory,1.1.0,Housing Observatory,home_sales,months_of_supply,Months of supply,months,monthly,published,published,REDFIN_HMT,2,none,,,Redfin market data are subject to revision and reflect Redfin's documented market coverage; this is not a government statistic.
observatory.housing_permits.permitted_units_total,observatory,1.1.0,Housing Observatory,housing_permits,permitted_units_total,Permitted housing units,housing units,annual final,published,published,CENSUS_BPS,1,none,,,New privately owned residential units authorized by building permits.
observatory.housing_permits.permitted_units_single_family,observatory,1.1.0,Housing Observatory,housing_permits,permitted_units_single_family,Permitted units in single-family structures,housing units,annual final,published,published,CENSUS_BPS,1,none,,,New privately owned residential units authorized by building permits.
